Number,Name,Identity,Calender,Contacts,Locations,SMS,Phone,PMF,Storage,Camera,Microphone,Network,DeviceIDCall,Other,Genre
1,Dune!,,,,"approximate location (network-based),precise location (GPS and network-based)",,,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",,,view Wi-Fi connections,,"view network connections,full network access,control vibration","Games,Arcade"
2,Wish - The secret to affordable shopping,,,"find accounts on the device,read your contacts",,,,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",take pictures and videos,,,,"receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping",Shopping
3,WhatsApp Messenger,"find accounts on the device,add or remove accounts,read your own contact card",,"find accounts on the device,read your contacts,modify your contacts","approximate location (network-based),precise location (GPS and network-based)","receive text messages (SMS),send SMS messages",read phone status and identity,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",take pictures and videos,,view Wi-Fi connections,read phone status and identity,"read sync statistics,receive data from Internet,view network connections,create accounts and set passwords,pair with Bluetooth devices,send sticky broadcast,connect and disconnect from Wi-Fi,full network access,change your audio settings,control Near-Field Communication,read sync settings,run at startup,use accounts on the device,control vibration,prevent device from sleeping,modify system settings,toggle sync on and off,install shortcuts,uninstall shortcuts,read Google service configuration",Communication
4,AliExpress Shopping,,,,,,read phone status and identity,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,"view network connections,change system display settings,change network connectivity,connect and disconnect from Wi-Fi,full network access,run at startup,draw over other apps,control vibration,prevent device from sleeping,modify system settings",Shopping
5,Joom,,,,,,,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",,,,,"receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping,read Google service configuration",Shopping
6,Yelp,find accounts on the device,,"find accounts on the device,read your contacts","approximate location (network-based),precise location (GPS and network-based)",,,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",take pictures and videos,record audio,view Wi-Fi connections,,"receive data from Internet,view network connections,full network access,run at startup,control vibration,prevent device from sleeping,read Google service configuration",Travel
7,Messenger - Text and Video Chat for Free,"find accounts on the device,add or remove accounts,read your own contact card",read calendar events plus confidential information,"find accounts on the device,read your contacts,modify your contacts","approximate location (network-based),precise location (GPS and network-based)","read your text messages (SMS or MMS),receive text messages (MMS),receive text messages (SMS),send SMS messages,edit your text messages (SMS or MMS)","directly call phone numbers,reroute outgoing calls,read call log,read phone status and identity,write call log","read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,"download files without notification,receive data from Internet,view network connections,create accounts and set passwords,read battery statistics,pair with Bluetooth devices,change network connectivity,full network access,change your audio settings,control Near Field Communication,read sync settings,run at startup,draw over other apps,control vibration,prevent device from sleeping,toggle sync on and off,install shortcuts,read Google service configuration,control vibration,send sticky broadcast,",Communication
8,Netflix,find accounts on the device,,find accounts on the device,,,read phone status and identity,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",,record audio,view Wi-Fi connections,read phone status and identity,"receive data from Internet,view network connections,pair with Bluetooth devices,allow Wi-fi Multicast reception,full network access,change your audio settings,prevent device from sleeping,view network connections,pair with Bluetooth devices",Entertainment
9,London Live Bus Countdown,,,,"approximate location (network-based),precise location (GPS and network-based)",,read phone status and identity,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",,,view Wi-Fi connections,read phone status and identity,"receive data from Internet,view network connections,pair with Bluetooth devices,full network access,run at startup,prevent device from sleeping,read Google service configuration",Travel
10,SNCF,,read calendar events plus confidential information,,"approximate location (network-based),precise location (GPS and network-based)",,read phone status and identity,"read the contents of your USB storage,modify or delete the contents of your USB storage",,take pictures and videos,,view Wi-Fi connections,,"receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping",Travel
11,Flashlight,,,,"approximate location (network-based),precise location (GPS and network-based)",,,read the contents of your USB storage,read the contents of your USB storage,take pictures and videos,,,,"view network connections,full network access,control vibration",Tools
12,park4night - Motorhome camper,retrieve running apps,,,"approximate location (network-based),precise location (GPS and network-based)",,directly call phone numbers,"read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",,,view Wi-Fi connections,,"receive data from Internet,view network connections,full network access,control vibration,prevent device from sleeping",Travel
13,Yatra - Flights Hotels Bus IRCTC/Trains & Ola/Uber,"retrieve running apps,find accounts on the device","read calendar events plus confidential information,add or modify calendar events and send email to guests without owners' knowledge",find accounts on the device,"approximate location (network-based),precise location (GPS and network-based)","read your text messages (SMS or MMS),receive text messages (SMS),send SMS messages","directly call phone numbers,read phone status and identity","read the contents of your USB storage,modify or delete the contents of your USB storage","read the contents of your USB storage,modify or delete the contents of your USB storage",take pictures and videos,record audio,view Wi-Fi connections,read phone status and identity,"receive data from Internet,view network connections,full network access,use accounts on the device,prevent device from sleeping,read Google service configuration",Travel
